commentId,text,date
974709757,泸州老窖今天庆春路瑞鹤仙方新俠西湖国贸中心助攻深股通封板结果遭到炸板，深股通45,10-29 21:01
974709171,泸州老窖今日热门盘点,10-29 20:59
974708775,明天继续加仓干，必破200！[加油],10-29 20:58
974707875,明天再来个板,10-29 20:54
974707492,中信建投杭州庆春路：买进泸州老窖1.61亿,10-29 20:52
974703388,明天2-3个点妥妥的,10-29 20:36
974703180,这个股，未来会跌70%～80%，真的,10-29 20:35
30494667,创业板指数四连阳 大A股相对抗跌,10-29 20:30
974698123,完了，上龙虎榜了,10-29 20:13
974698123,完了，上龙虎榜了,10-29 20:11
974696977,15元一次，53元二次，长多，坚守。,10-29 20:07
974696977,15元一次，53元二次，长多，坚守。,10-29 20:04
974696046,产品结构升级和费用率下降带动业绩高增长,10-29 20:04
974695824,茅台150元的时候也有机构卖出有上面稀奇的,10-29 20:03
974695730,新余国科，让精通高手收获40%出局。虽然仓位只有不到4成，但是赚这么快的钱也舒坦,10-29 20:03
974695659,融资加仓,10-29 20:02
2308450,A股独立日，原油创新低,10-29 20:02
974693768,再涨也是左脚倒到右脚。倒错了脚那你知道会怎么样！,10-29 19:54
953239231,机构从泸州老窖跑了！一天卖了近9亿，三季报强烈看好原来是幌子？,10-29 19:53
953239231,机构从泸州老窖跑了！一天卖了近9亿，三季报强烈看好原来是幌子？,10-29 19:43
953239231,机构从泸州老窖跑了！一天卖了近9亿，三季报强烈看好原来是幌子？,10-29 19:33
974687125,老窑股价，业绩，和知名度，与古井贡酒相比，便知老窑后市是涨还是跌了？,10-29 19:19
974686036,机构这招玩的好一边唱多一边出货绝,10-29 19:13
974685625,明天老窖趁机炒作一把彰显实力说实话洋河在这方面实在不行,10-29 19:10
974684810,46亿的净利润如何支撑2600亿的市值？呢！,10-29 19:07
974684347,卖飞了哇，早上挂单记得已经撤单了，后面又提示我成功了看样子明天还得大涨,10-29 19:04
974683077,研报一出，明天就完犊子,10-29 18:58
974683131,多主力现身龙虎榜，泸州老窖涨停（10-29）,10-29 18:57
974682679,泸州老窖明天涨停好好宣传太能做宣传了,10-29 18:55
974681228,【第十九届五中全会：形成强大国内市场，构建新发展格局】第十九届五中全会提出，形成,10-29 18:49
974680880,泸州老窖：高档酒表现强劲，费用减少增加业绩弹性,10-29 18:47
974680712,没处可去扎堆白酒了,10-29 18:45
832594650,恐慌情绪创新高了。。。,10-29 18:33
832594650,恐慌情绪创新高了。。。,10-29 18:30
974674551,高光已至，顺势而为,10-29 18:16
974674313,消费股出大利好了！利好泸州老窖！,10-29 18:16
974672234,中国文化浓缩结晶就是白酒，白酒是人情世故。,10-29 18:08
974672032,泸州老窖：公司前三季度净利润48.15亿元，同比增长27%，靓丽的业绩，成功吸引,10-29 18:06
974671967,泸州老窖：公司前三季度净利润48.15亿元，同比增长27%，靓丽的业绩，成功吸引,10-29 18:06
974671927,泸州老窖：公司及控股股东部分国有股权无偿划转充实社保基金,10-29 18:05
974670032,泸州老窖涨停了，对白酒板块会有什么影响？,10-29 17:59
974669968,泸州老窖:关于公司及控股股东部分国有股权无偿划转充实社保基金的提示性公告,10-29 17:58
974669968,泸州老窖:关于公司及控股股东部分国有股权无偿划转充实社保基金的提示性公告,10-29 17:58
974669555,好酒得有肉,10-29 17:57
974669297,梭哈！亏就亏吧！,10-29 17:56
